QW_SEQ,CEN,SULFATE
3469,FALSE,8.58
4020,FALSE,8.594
5058,FALSE,8.599998474
3736,FALSE,8.6
4904,FALSE,8.6
5271,FALSE,8.6
3508,FALSE,8.61
3633,FALSE,8.61
3695,FALSE,8.634
4136,FALSE,8.664
3471,FALSE,8.69
3668,FALSE,8.7
4111,FALSE,8.706
3457,FALSE,8.72
3909,FALSE,8.74
4452,FALSE,8.74
3472,FALSE,8.76
4698,FALSE,8.8
3677,FALSE,8.81
5173,FALSE,8.84
4603,FALSE,8.846
4959,FALSE,8.855
3675,FALSE,8.87
4907,FALSE,8.9
4856,FALSE,8.9
3514,FALSE,8.93
4979,FALSE,8.94
4240,FALSE,8.95
3657,FALSE,8.98
3656,FALSE,9.01
3697,FALSE,9.014
3864,FALSE,9.062
3691,FALSE,9.076
5061,FALSE,9.099998474
3630,FALSE,9.14
4338,FALSE,9.2
4348,FALSE,9.2
4349,FALSE,9.2
4350,FALSE,9.2
4906,FALSE,9.2
4935,FALSE,9.2
4062,FALSE,9.214
3682,FALSE,9.22
3929,FALSE,9.23
3658,FALSE,9.24
3650,FALSE,9.258
3930,FALSE,9.282
3765,FALSE,9.3
5252,FALSE,9.3
3456,FALSE,9.34
3655,FALSE,9.38
4750,FALSE,9.414
3680,FALSE,9.42
3678,FALSE,9.47
5165,FALSE,9.5
4786,FALSE,9.54
3470,FALSE,9.56
3905,FALSE,9.57
3637,FALSE,9.61
3670,FALSE,9.64
3903,FALSE,9.64
3979,FALSE,9.641
4179,FALSE,9.71
3635,FALSE,9.74
4956,FALSE,9.75
3669,FALSE,9.76
4130,FALSE,9.809
4714,FALSE,9.815
3696,FALSE,9.882
2841,FALSE,9.89787831
3775,FALSE,9.9
5191,FALSE,9.95
4407,FALSE,10
5268,FALSE,10
5269,FALSE,10
4406,FALSE,10.1
3857,FALSE,10.14
3720,FALSE,10.2
4309,FALSE,10.2
4405,FALSE,10.2
4085,FALSE,10.23
4783,FALSE,10.29
3634,FALSE,10.3
3671,FALSE,10.37
4774,FALSE,10.4
5205,FALSE,10.5
3601,FALSE,10.6
3622,FALSE,10.65
3966,FALSE,10.665
5183,FALSE,10.7
5234,FALSE,10.73
3679,FALSE,10.77
3867,FALSE,10.78
4208,FALSE,10.799
5291,FALSE,10.8
3971,FALSE,10.859
5276,FALSE,10.9
